Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
Python Developer,Euphoric Thought Technologies,Frontend / Web,"Job Description: Required skills and qualifications 3 years of experience as a Python Developer with a strong portfolio of projects. hands on exp in react.js Bachelor's degree in Computer Science, Software Engineering or a related field. In-depth understanding of the Python software development stacks, ecosystems, frameworks and tools such as Numpy, Scipy, Pandas, Dask, spaCy, NLTK, sci-kit-learn and PyTorch. Experience with front-end development using Angular.js HTML, CSS, and JavaScript. Fami…","Python, Java, C, JavaScript, R, React, Angular, HTML, CSS, PyTorch, Pandas, NumPy",Not Specified,"₹800,000 - ₹1,200,000",Bengaluru,Onsite,2026-04-28,Adzuna
Python Developer,Financial Hospital,Frontend / Web,"We are looking for a passionate hands-on technologist who has experience developing Python web applications with Django as a framework and has the expertise to integrate the same with a UI built using Angular JS. Basically someone, who has worked as a Full Stack Python Developer delivering web applications from end-to-end. You will be working on our revolutionary and niche products developed for the Fintech domain. You will develop new software for web applications, perform research & developme…","Python, C, Go, R, Angular, Django",Not Specified,Not Disclosed,Mumbai,Onsite,2026-05-27,Adzuna
Python Developer,Kiash Solutions LLP,Data Engineering,"Extensive Python Development: Over 10 years of relevant software development experience with Python. Behavior-Driven Development: Extensive delivery experience of Behavior-Driven Development (BDD) and writing testable code. Agile Methodologies: Proven experience working in agile teams, demonstrating the application of agile principles with lean thinking. Data Engineering: Useful experience blending data engineering with core software engineering. Additional Programming Skills: Desirable experie…","Python, C, R, Agile",Not Specified,"₹1,500,000 - ₹2,500,000",India,Onsite,2026-05-24,Adzuna
Python Developer,beyondscale,AI / ML / Data Science,"Python Developer at BeyondScale BeyondScale is a technology company on a mission to democratise AI for small and medium-sized businesses (SMBs). We're building Sitara, an AI-powered ERP suite that is a suite of micro-apps designed specifically for the service sector. Imagine a pocket CRM, a pocket POS, and a suite of essential tools—all streamlined for simplicity and powered by intelligent automation. The Opportunity: We're looking for a passionate Python Developer to join our growing team and …","Python, C, R, Unity",Not Specified,"₹400,000 - ₹1,200,000",Hyderabad,Onsite,2026-05-19,Adzuna
Python Developer,BridgeFix Technology,Backend / API,"Must have 1 Years of experience. Location: Apart from the East Indian States it will be permanent work from home. Requirements: Work experience as a Python Developer Expertise in at least one popular Python framework (like Django, Flask or Pyramid) Team spirit Good problem-solving skills BSc in Computer Science, Engineering or relevant field Skills:- Django, Flask, Python, RESTful APIs and Databases","Python, C, Go, R, Django, Flask",Not Specified,"₹450,000 - ₹700,000","Indore, Madhya Pradesh",Remote,2026-05-15,Adzuna
Python Developer,Wings Global Services,Data Engineering,"Key Responsibilities: Design, develop, and maintain robust Python-based applications and scripts. Build web applications using frameworks such as Django or Flask. Write and optimize complex database queries (SQL or NoSQL). Identify and fix backend issues to ensure high performance and responsiveness. Collaborate with frontend developers and other teams to integrate APIs and deliver seamless user experiences. Implement automation workflows and data processing pipelines. Contribute to code review…","Python, C, Go, R, Django, Flask, SQL, NoSQL",Not Specified,"₹800,000 - ₹1,000,000",Gurgaon,Onsite,2026-05-08,Adzuna
Python Developer,Fabhost Web Solutions,Game / AR / VR,"Job Brief: Dear Candidate: We are looking for a Python Programmer with expert in building high-performing, scalable, enterprise-grade applications. You will be part of a talented software team that works on Research application Projects. Looking for skilled person in programming to join in our IT Team. Please let me know if you are interested and looking for the job opportunity at this time. Python Programmer roles and responsibilities include managing Linux based application development while …","Python, C, Scala, R, Linux, Unity",Not Specified,Not Disclosed,Chennai,Onsite,2026-05-14,Adzuna
Python Developer,Wissen Technology,AI / ML / Data Science,Greetings! Wissen Technology is hiring for Python developers. Required: 7 years of experience Looking for core application developer in Python. ( Not a ML/Data scientist) Must have hands on experience on Python Must have exposure in OOPS & SOA concepts Exposure in Flask APIs for building Rest APIs Good to have exposure on Java or React Company Profile: Website : www.wissen.com Wissen Thought leadership : https://www.wissen.com/articles/ https://www.youtube.com/watch?v=H_rLmHvlOKg Employee Speak…,"Python, Java, C, Go, R, React, REST API, Flask",Lead/Principal (8+ yrs),Not Disclosed,Mumbai,Onsite,2026-05-07,Adzuna
Python Developer,Jobdost,AI / ML / Data Science,Required experience: Minimum 1 year of experience in Web & Backend Development using Python Overview We are looking for Python developers with a strong understanding of object orientation and experience in web and backend development. Experience with Analytical algorithms and mathematical calculations using libraries such as Numpy and Pandas are a must. Experience in some form of Machine Learning . We require candidates who have working experience using Django Framework Key Skills required (Ite…,"Python, C, Go, R, Django, Machine Learning, Pandas, NumPy",Not Specified,"₹200,000 - ₹500,000",Mumbai,Onsite,2026-05-25,Adzuna
Python Developer,NeoSoft Technologies,AI / ML / Data Science,"Minimum 2.5 years of experience as a Python Developer. Minimum 2.5 years of experience in any framework like Django/Flask/Fast API Minimum 2.5 years of experience in SQL/ Postgress Minimum 2.5 years of experience in Git/Gitlab/Bit-Bucket Minimum 2 years of experience in deployment (CICD with Jenkins) Minimum 2.5 years of experience in any cloud like AWS/GCP/Azure Skills:- Natural Language Processing (NLP), Computer Vision, recommendation algorithm, SQL, Data Analytics and Python","Python, C, Go, R, Django, Flask, SQL, NLP, Computer Vision, AWS, Azure, GCP, Jenkins, Git",Not Specified,"₹600,000 - ₹1,200,000",Mumbai,Onsite,2026-05-09,Adzuna
Python Developer,codersbrain,Frontend / Web,"Python Developer with Tornado \ Django Experience: 5-10 Years. Skills: Python, Django, Restfull API. Passionate coder with 5 years of application development experience with python based web servers. Backend & Frontend API creation using Tornado / Django / Flask. Strong experience working with RESTful APIs. Hands on experience with any SQL database with schema creation and SQL queries Strong debugging, problem solving and investigative skills. Experience with Agile/Scrum methodology. Self-start…","Python, C, Go, R, Django, Flask, SQL, Agile, Scrum",Not Specified,"₹100,000 - ₹700,000",Bengaluru,Onsite,2026-05-12,Adzuna
Python Developer,SOT-Science of talent Acquisition consulting services Pvt Ltd,AI / ML / Data Science,"E xperience : 5-8 years Location : Bangalore,Chennai and h yderabad Python Developer (1 Position) Must have skills: · Experience in advanced Python · Experience in GUI/Test Automation tools/libraries (Robot Framework, Selenium, & Sikuli etc.) · Ability to create UI Automation scripts to execute in Remote/Citrix servers · Knowledge in analytical libraries like Pandas, Numpy, Scipy, PyTorch etc. · AWS skillset Nice to have skills: · Experience in SQL and Big Data analytic tools like Hive and Hue …","Python, C, R, SQL, PyTorch, Pandas, NumPy, AWS",Senior (5+ yrs),"₹1,000,000 - ₹2,500,000",Chennai,Remote,2026-05-19,Adzuna
Python Developer,Nova Nurture HR Solutions,Backend / API,"Hiring: Python Developer Location: Bangalore | ‍ Work Mode: Onsite| Experience: 2–6 years ‍ Client: KJBN Labs (AgriTech) Join: Immediate joiners preferred About the Role We’re looking for a Python Backend Developer who not only writes code but writes it the Pythonic way. At KJBN Labs, you’ll be building scalable, production-grade systems that touch the lives of farmers and agribusinesses. If clean architecture, clean code, and the Zen of Python guide how you think, this is your place. What…","Python, C, Scala, R",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-17,Adzuna
Python Developer,Vmultiply solutions,Backend / API,Requirement: Position: Senior Python developer/c++ Location: Noida Experience: 5 to 7 years CTC: As per company standards NP: Immediate to 15 days NOTE: Work from office Job Responsibilities 1. Develop backend for applications in eCommerce / insurance/wealth management businesses 2. Design technically sound systems and deliver results in a fast manner 3. Building highly performant applications setting top standards in respective industries Basic qualifications 1. 5 -7 years experience building …,"Python, C++, C, R",Senior (5+ yrs),"₹600,000 - ₹1,500,000",Noida,Onsite,2026-05-18,Adzuna
Python developer,Cast Software,DevOps / Cloud,"Solution Oriented Mindset Assist project in all technical aspects of tooling and DevOps Proactively lead tools new versions release cycle and documentation Proactively identify risks related to application /deliverables and propose a mitigation plan Provide custom solutions as per customer requirements Autonomy & Problem Solving Mindset Work in complete autonomy to deliver project deliverables, for advanced technical deliverables, with required level of quality Must have troubleshooting skills …","Python, C, R",Lead/Principal (8+ yrs),"₹800,000 - ₹1,000,000",Bengaluru,Onsite,2026-05-17,Adzuna
Python developer,Employee Hub,Backend / API,"Job Summary: We are seeking an experienced and highly motivated Senior Python Developer to join our dynamic and growing engineering team. This role is ideal for a seasoned Python expert who thrives in a fast-paced, collaborative environment and has deep experience building scalable applications, working with cloud platforms, and automating infrastructure. Key Responsibilities: Develop and maintain scalable backend services and APIs using Python, with a strong emphasis on clean architecture and …","Python, C, Scala, R",Senior (5+ yrs),"₹2,200,000 - ₹2,600,000",Hyderabad,Onsite,2026-05-20,Adzuna
python developer,Natalie Consultants,Frontend / Web,"Requirements Previous working experience as a Python Web Developer for min 2 years. Hands-on experience with Django, Flask, or other Python frameworks. Experience with Design implementation of objects and data models. Working knowledge in JavaScript, HTML5, CSS3. Understanding of CI/CD practices. Familiarity with some ORM (Object Relational Mapper) libraries. Proficient understanding of code versioning tools such as Git, Mercurial, or SVN. Hands-on experience with complex scripts in Python to c…","Python, Java, C, Go, JavaScript, R, HTML, CSS, Django, Flask, CI/CD, Git",Not Specified,"₹1,200,000 - ₹2,800,000",India,Onsite,2026-05-04,Adzuna
Python Developer,People Decode Solutions,Backend / API,"Here's a job description for a Python MongoDB Developer with 5 to 8 years of experience : Job Title: Python MongoDB Developer Experience: 5 to 8 Years Location: Bangalore Job Type: Full Time Job Description: We are looking for an experienced Python MongoDB Developer to design, develop, and maintain scalable applications. The ideal candidate should have expertise in backend development using Python and deep experience in working with MongoDB. Key Responsibilities: Develop, test, and maintain hig…","Python, C, Go, Scala, R, MongoDB",Senior (5+ yrs),"₹2,000,000 - ₹2,200,000",India,Onsite,2026-05-02,Adzuna
Python Developer,Qrata,Frontend / Web,"What kind of work will you get? We are looking for a Python developer. Examples of technical tasks: Working on our backend SDK to implement APIs that will be consumed by the frontend widgets Designing APIs for different auth recipes Architecting auth flows You will also be given non technical tasks like product brain storming, competitor analysis and writing documentation. Note: Compensation is as per the applicant's geography Requirements Well versed in Python with 2 years of professional expe…","Python, C, R",Lead/Principal (8+ yrs),"₹2,000,000 - ₹4,500,000",India,Onsite,2026-05-09,Adzuna
Python developer,RARR Technologies,Backend / API,"Job Description: Role Overview: Responsible for designing and developing complex server-side functionality and building modern web applications using full stack technologies. Backend Development: Strong experience in Python development with demonstrable expertise in building server-side applications. Database & Scripting: Exposure to object-oriented SQL databases, shell scripting, and basic Unix knowledge. Testing: Proficient in writing unit, integration, and acceptance tests to ensure software…","Python, C, R, Shell, SQL",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-11,Adzuna
Python Developer,Praveza Consultancy Private Limited,Frontend / Web,"ROLE- PYTHON DEVELOPER CLIENT - RBIT BUDGET- ₹ 60,000- ₹ 1,00,000 EXP -2-3 years LOCATION- Mumbai-BKC Please share relevant profiles according to these only: 1. Minimum 2 years for experience in Angular. 2. Educational Background: A minimum of Bachelor’s Degree (B.E/B.Tech) or Master's Degree in Computer Science, Software Engineering, or related field. 3. No Education gap 4. Employment Gap: We prefer candidate with no employment gap; however, if there is any Employment gap , it should not excee…","Python, C, R, Angular",Not Specified,"₹900,000 - ₹900,000",Mumbai,Onsite,2026-05-20,Adzuna
Python Developer,CES Information Technologies,Data Engineering,"o Critical thinking mind who likes to solve complex problems, loves programming, and cherishes to work in a fast-paced environment. o Strong Python development skills, with 7 yrs. experience with SQL. o A bachelor or master’s degree in Computer Science or related areas o8 years of experience in data integration and pipeline development o Experience in Implementing Databricks Delta lake and data lake o Expertise designing and implementing data pipelines using modern data engineering approach and…","Python, C, R, SQL, Databricks",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-16,Adzuna
Python Developer,WolfPack Studios,Backend / API,"URGENTLY REQUIRED FULL STACK PYTHON DEVELOPER. COMPETITIVE SALARY PACKAGE. Experience: 5 - 8 years of Python 3 skills 5 years hands of Django framework Payment Gateways integration Database skills in a relational database (MariaDB PostgresSQL) Knowledge of how to build and use with RESTful APIs Strong knowledge of version control (i.e. git, svn, etc.) Experience deploying Python applications into production Amazon Web Services (AWS) infrastructure knowledge is a plus Nice to have worked before:…","Python, C, Go, R, Django, SQL, AWS, Git",Not Specified,"₹500,000 - ₹1,200,000",India,Onsite,2026-05-11,Adzuna
Python Developer,91social,Backend / API,"Designing and developing high-volume, low-latency applications for critical systems and delivering high-availability and performance • Contributing in all phases of the development lifecycle • Writing well designed, testable, efficient code • Test cases should be upto the mark • Performance tuning knowledge is a must. Experience is an added advantage. • In Backend – fundamentals of all languages is a must• Good hands-on software development experience with proven working experience in Python de…","Python, C, Go, R",Not Specified,"₹500,000 - ₹1,800,000",Bengaluru,Onsite,2026-05-09,Adzuna
Python Developer,Retain The Star,AI / ML / Data Science,"This opportunity is for an AI Drone Technology startup funded by the Indian Army. It is working to develop cutting-edge products to help the Indian Army gain an edge in New Age Enemy Warfare. They are working on using drones to neutralize terrorists hidden in deep forests. Responsibilities Write effective, scalable code Develop back-end components to improve responsiveness and overall performance Integrate user-facing elements into applications Test and debug programs Improve functionality of e…","Python, C, Scala, R, Unity",Not Specified,"₹1,500,000 - ₹2,000,000",India,Onsite,2026-05-02,Adzuna
Python Developer,TrustCheckr,Backend / API,"We are looking for a 2 to 3 years experienced Python Developer to join our team. As a part of our Technology/Solutions leadership team, you will be directly working with Product Engineering team in Designing the crawling algorithm from social media. Skills: Python, Web crawling, Web scraping, Beautiful Soup, Snowflake, Scrapy - Develop customised tools to automate critical business functions and meet project objectives, requirements and company goals - Interact with manager as necessary to anal…","Python, C, Go, R, Snowflake",Lead/Principal (8+ yrs),"₹600,000 - ₹1,000,000",Bengaluru,Onsite,2026-05-01,Adzuna
Python Developer,Techwave Inc,Embedded / Hardware,"Techwave is a leading global IT services and solutions company revolutionizing digital transformations. We enable clients to maximize their potential and achieve a greater market with a wide array of technology services, including, but not limited to Enterprise Resource Planning, Application Development, Analytics, Digital, and the Internet of things (IoT). Organization : TECHWAVE ( http://www.techwave.net/ ) Requirement : Python Developer Experience : 5 years. Job type : Permanent Location : …","Python, C, R, Git",Entry Level,"₹500,000 - ₹1,600,000",Hyderabad,Onsite,2026-04-29,Adzuna
Python Developer,wrackle,AI / ML / Data Science,"Must have : Strong Experience in Python development Familiarity with Data Structures and Algorithms Experience in developing Enterprise scale applications Exposure to NLP Exposure / awareness of AI, ML Exposure to Windows Azure is an added advantage God understanding of project architecture and software development processes such as Agile and Scrum Responsibilities : Partner with Business Stakeholders to translate business objectives into clearly defined analytical Projects Own the end-end proc…","Python, C, Go, R, NLP, Azure, Agile, Scrum",Lead/Principal (8+ yrs),"₹800,000 - ₹2,500,000",India,Onsite,2026-05-25,Adzuna
Python Developer,accubits technologies inc,Backend / API,"About Accubits Technologies We are a full-service software provider offering product development and digital transformation services to Governments, Tech startups, Fortune 1000 companies, and Businesses. We help organizations to be future-proof through data-driven solutions for mobile, cloud, and web platforms using cutting edge technologies such as AI, Blockchain and RPA. We are looking to recruit experienced Python Developers ( 2 years ) who have good Knowledge and experience in Django and My…","Python, C, Go, R, Django, Git, Blockchain",Not Specified,"₹400,000 - ₹1,000,000",India,Onsite,2026-05-02,Adzuna
Python developer,NeoGenCode Technologies Pvt Ltd,Frontend / Web,"Python Software Engineer (3–5 Years Experience) Location: [Pune] Role Overview We are seeking skilled Python engineers to join our core product team. You will work on backend services, API development, and system integrations, contributing to a codebase of over 250,000 Python lines and collaborating with frontend, DevOps, and native code teams. Key Responsibilities · Design, develop, and maintain scalable Python backend services and APIs · Optimize performance and reliability of large, distribu…","Python, C, Scala, R",Not Specified,"₹800,000 - ₹1,500,000",Pune,Onsite,2026-05-05,Adzuna
Python Developer,Leadferry,Backend / API,"Who are we? LeadFerry is an early-stage product start-up based out of Technopark, Thiruvananthapuram (Incubated under the Kerala Government’s Kerala Startup Mission program). We build marketing software used by companies around the world. We have been covered by Indian Express and Times of India . What do you get to work on? You’ll be building large scale web-apps with complex backend systems hands-on. Be part of the thriving start-up community in Kerala. Build a global product that processes m…","Python, C, Go, R, Express, Unity",Lead/Principal (8+ yrs),Not Disclosed,"Thiruvananthapuram, Kerala",Onsite,2026-05-04,Adzuna
Python Developer,Semperfi Solution,DevOps / Cloud,"Job Description JD - Python Developer Responsibilities Design and implement software features based on requirements Architect new features for products or tools Articulate and document designs as needed Prepare and present technical training Provide estimates and status for development tasks Work effectively in a highly collaborative and iterative development process Work effectively with the Product, QA, and DevOps team. Troubleshoot issues and correct defects when required Build unit and inte…","Python, C, R",Lead/Principal (8+ yrs),"₹500,000 - ₹1,800,000",Bengaluru,Onsite,2026-05-04,Adzuna
Python Developer,prep study,Backend / API,"About Us: Tradelab Technologies Pvt Ltd is not for those seeking comfort—we are for those hungry to make a mark in the trading and fintech industry . If you are looking for just another backend role, this isn’t it. We want risk-takers, relentless learners, and those who find joy in pushing their limits every day. If you thrive in high-stakes environments and have a deep passion for performance driven backend systems, we want you. • We’re looking for a Backend Developer (Python) with a strong fo…","Python, C, R",Not Specified,"₹1,000,000 - ₹1,500,000",Bengaluru,Onsite,2026-05-19,Adzuna
Python Developer,Tradelab Software Private Limited,Backend / API,"About Us: Tradelab Technologies Pvt Ltd is not for those seeking comfort—we are for those hungry to make a mark in the trading and fintech industry . If you are looking for just another backend role, this isn’t it. We want risk-takers, relentless learners, and those who find joy in pushing their limits every day. If you thrive in high-stakes environments and have a deep passion for performance. driven backend systems, we want you. What We Expect: • We’re looking for a Backend Developer (Python)…","Python, C, R",Not Specified,"₹1,000,000 - ₹1,500,000",Bengaluru,Onsite,2026-05-14,Adzuna
Python Developer,Topcoder,Backend / API,"Python Handson with backend development. Skills - Python, AWS Serverless. AWS services (Lambda, S3, API Gateway) Drill down - sql-alchemy, requests, lambdas, API Integration. Strong Python experience Proficient in API writing Solid SQL experience. Knowledge on SQL programming Good understanding of system design (Low Level & High Level)","Python, C, Go, R, SQL, AWS",Not Specified,Not Disclosed,Noida,Onsite,2026-05-05,Adzuna
Python Developer,SynRadar,AI / ML / Data Science,This profile will include the following responsibilities: - Develop Parsers for XML and JSON Data sources/feeds - Write Automation Scripts for product development - Build API Integrations for 3 rd Party product integration - Perform Data Analysis - Research on Machine learning algorithms - Understand AWS cloud architecture and work with 3 party vendors for deployments - Resolve issues in AWS environment We are looking for candidates with: Qualification: BE/BTech/Bsc-IT/MCA Programming Language:…,"Python, C, Go, R, Machine Learning, AWS",Lead/Principal (8+ yrs),"₹500,000 - ₹1,000,000",Mumbai,Onsite,2026-05-09,Adzuna
Python Developer,Deqode,Backend / API,"We are seeking a highly skilled and motivated Python Developer with hands-on experience in AWS cloud services (Lambda, API Gateway, EC2), microservices architecture , PostgreSQL , and Docker . The ideal candidate will be responsible for designing, developing, deploying, and maintaining scalable backend services and APIs, with a strong emphasis on cloud-native solutions and containerized environments. Key Responsibilities: Develop and maintain scalable backend services using Python (Flask, FastA…","Python, C, Scala, R, Flask, SQL, PostgreSQL, AWS, Docker, Microservices, ROS",Lead/Principal (8+ yrs),"₹800,000 - ₹1,300,000",Mumbai,Onsite,2026-05-26,Adzuna
Python Developer,Edumyra,Frontend / Web,"We're looking for exprienced Python developers with over 2 years of production experience and strong expertise in building web applications and APIs using Python, Django and DRF . We are looking for cadidates who are go-getters and are leaning towards leadership positions. Candidates must have a proven history of building, scaling, optimising and securing Python based backends and APIs using a microservice architecture. Bonus Skills : Experience with ReactJs, Node.js, FastAPI We would prefer ca…","Python, C, Go, R, React, Node, Django, FastAPI, ROS",Lead/Principal (8+ yrs),"₹400,000 - ₹600,000",Mumbai,Onsite,2026-05-13,Adzuna
Python Developer,Tradelab Technologies,Backend / API,"About Us: Tradelab Technologies Pvt Ltd is not for those seeking comfort—we are for those hungry to make a mark in the trading and fintech industry . If you are looking for just another backend role, this isn’t it. We want risk-takers, relentless learners, and those who find joy in pushing their limits every day. If you thrive in high-stakes environments and have a deep passion for performance driven backend systems, we want you. What We Expect: • We’re looking for a Backend Developer (Python) …","Python, C, R",Not Specified,"₹1,000,000 - ₹1,500,000",Bengaluru,Onsite,2026-05-22,Adzuna
Python Developer,Natwest Group,Game / AR / VR,"Join us as a Python Developer This is an opportunity for a driven Software Engineer to take on an exciting new career challenge Day-to-day, you'll build a wide network of stakeholders of varying levels of seniority It’s a chance to hone your existing technical skills and advance your career We are offering this role at senior analyst level What you'll do In your new role, you’ll engineer and maintain innovative, customer centric, high performance, secure and robust solutions. You’ll be working …","Python, C, R, Unity",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-10,Adzuna
Python Developer,MyOperator - VoiceTree Technologies,Backend / API,"Develop, maintain, and enhance robust backend systems using Python3 and frameworks like Django (mandatory), Flask, and FastAPI (good to have). Design, implement, and maintain highly efficient and automated continuous integration and continuous deployment (CI/CD) processes using Jenkins and configuration management with Ansible . Elevate our testing culture by architecting and implementing innovative testing strategies, focusing on both unit and integration testing to ensure exceptional code qua…","Python, C, Go, R, Django, Flask, FastAPI, Ansible, Jenkins, CI/CD",Lead/Principal (8+ yrs),"₹1,000,000 - ₹1,500,000",India,Onsite,2026-05-09,Adzuna
Java Web Developer,Tata Consultancy Services,AI / ML / Data Science,"Greetings from TCS JD : Position: Java Developer Job Location: Bengaluru/Gurugram/Chennai Experience: 5-10 years Role & responsibilities: Must Have: Position: Java Developer Required Skill Sets: Java, MicroservicesJAVA 8 , Microservices, ,Spring Boot,Kafka Must Have: Java.8, Microservices, Spring Boot, Springboot AWS Knowledge. Good To Have: Agile Way of Working","Java, C, Go, R, Spring Boot, Kafka, AWS, Agile, Microservices, ROS",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-18,Adzuna
Java Web Developer,CrimsonLogic,Frontend / Web,Role: Java developer Years of experience - 4 to 7 Location: Bangalore Notice period: Immediate joiner Interview mode: F2F Below mentioned are mandate skills required: Java 8 JQuery Spring MVC Spring REST controller SQL Good to have legal domain knowledge Interested candidates can share updated CV to Divya.R@weareams.com,"Java, C, Go, R, SQL",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-11,Adzuna
Java Web Developer,Yucca - Scalian Group,Frontend / Web,"Detailed Job Description: Role: Java Web Developer Experience: 7-11 Years Location: Bengaluru Required Skills: Java, Spring Boot, CI/CD, Junit, Mockito, Apache Camel, Spring Job Details: Expertise in Core Java (Java 17) Solid understanding of JVM internals, garbage collection tuning, and performance optimization Hands-on experience with Spring Boot (3.x), Spring Data JPA, REST API design, and microservice architecture Strong knowledge of multithreading, and asynchronous programming Familiarity …","Java, C, R, REST API, Spring Boot, CI/CD, ROS",Entry Level,Not Disclosed,Bengaluru,Onsite,2026-05-06,Adzuna
Java Web Developer,NAM Info Inc,Frontend / Web,"Dear , Hope you are doing good. Please find the job description. Kindly share the resume along with below details for quick submissions: 1) LWD/NP Screenshot confirmation 2) Immediate within 2-3 weeks joiner YES OR NO? 3) Available for Virtual or In Person interview as on 11th April. YES OR NO? 4) Current CTC? 5) Expected CTC? 6) Education details along with Course, University, Location and Year of passing out? 7) BGV is strict. Even after selection if Document sharing is missing then also you …","Java, C, Go, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-08,Adzuna
Application Support Engineer,LTM,Game / AR / VR,LTM is Hiring | Java Application Support Ready to drive Agile excellence and enable high-performing teams? LTIMindtree is looking for an experienced Java developer to join our growing team! Experience: 3 Years Education: Bachelor’s / Master’s in Computer Science or equivalent Location: Pune/Kolkata Work Model: Hybrid – 3 Days Work from Office Notice Period: Immediate to 20 Days Description of the Role 1 The Application Support Specialist of L2 level will perform a critical role in Applica…,"Java, C, R, Excel, Agile",Not Specified,Not Disclosed,India,Hybrid,2026-05-15,Adzuna
Application Support Specialist,LTM,Game / AR / VR,Ready to drive Agile excellence and enable high-performing teams? LTIMindtree is looking for an experienced Java developer to join our growing team! Experience: 3 Years Education: Bachelor’s / Master’s in Computer Science or equivalent Location: Pune/Kolkata Work Model: Hybrid – 3 Days Work from Office Notice Period: Immediate to 20 Days Description of the Role 1 The Application Support Specialist of L2 level will perform a critical role in Application Support and Service Management with r…,"Java, C, R, Excel, Agile",Not Specified,Not Disclosed,India,Hybrid,2026-05-26,Adzuna
Java Developer,Cynosure Corporate Solutions,Frontend / Web,"The Java Developer will support ongoing projects by developing, maintaining, and debugging backend applications. The role requires strong fundamentals in Java and the ability to work on existing codebases efficiently. Key Responsibilities: Develop and maintain backend applications using Core Java and Spring Boot Work on existing codebase, perform debugging, and fix issues efficiently Design and develop REST APIs and integrate with frontend/services Handle database operations using MySQL and JPA…","Java, C, Go, R, REST API, Spring Boot, SQL, MySQL",Not Specified,Not Disclosed,Chennai,Onsite,2026-05-23,Adzuna
Java Developer,Vrinda International,Backend / API,"Hiring Java Developers with strong backend and microservices experience to build scalable enterprise applications. Requirements Experience: 6–8 Years ? CTC: Up to 15 LPA ? Location: Bangalore ⚡ Notice Period: Immediate to 15 Days Joiners Only ?? Employment Type: Full-Time Strong experience in Spring Boot & Microservices , Experience in API development, Good problem-solving skills, Experience in Agile environment","Java, C, Go, Scala, R, Spring Boot, Agile, Microservices, ROS",Not Specified,"₹1,300,000 - ₹1,700,000",Bengaluru,Onsite,2026-05-04,Adzuna
Java Developer,Weekday AI,Backend / API,"This role is for one of the Weekday's clients Salary range: Rs 600000 - Rs 1000000 (ie INR 6-10 LPA) Min Experience: 3 years Location: Gurugram JobType: full-time We are looking for a skilled Java Developer to design, develop, and maintain high-performance, scalable applications. This role involves working across the software development lifecycle, from understanding business requirements to building robust backend systems and ensuring seamless integration with other services. You will collabor…","Java, C, Scala, R, ROS",Not Specified,6-10 LPA,India,Onsite,2026-05-05,Adzuna
Java Developer,Aqilea,AI / ML / Data Science,"Company Description Aqilea is an IT and engineering consulting partner that helps companies get more out of their technology and operations. With teams in Stockholm and Bangalore, we work closely with our clients to build solutions that fit their needs - from software development, AI and infrastructure engineering to industrial automation and embedded systems. We combine strong technical expertise with a practical, business-focused approach to help organizations modernize, improve security, and…","Java, C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-23,Adzuna
Java Developer,Scout Incorporation,Frontend / Web,"We're looking for Java Developers ! Responsibilities : Develop and maintain applications using Java and Spring Boot Work on legacy systems including AS400 (iSeries) and COBOL Design, develop, and optimize DB2 and PostgreSQL databases Build responsive UI components using Angular Integrate frontend and backend services Perform debugging, troubleshooting, and performance tuning Collaborate with cross-functional teams for design and delivery Ensure code quality through best practices and reviews Qu…","Java, C, R, Angular, Spring Boot, SQL, PostgreSQL, ROS",Not Specified,"₹2,800,000 - ₹3,200,000",Pune,Onsite,2026-05-07,Adzuna
Java Developer,Hirestar job Bank,Frontend / Web,"Position: Java Developer Location: Cochin Experience: 1-3 years Job Type: Full-time Budget: upto -4.5 LPA Notice: Immediate - 30 Days Required Technical Skills Backend * Java (Core Java, Java EE/SE) * Spring Framework (Spring Boot, Spring MVC, Spring Data JPA/Hibernate) * Experience designing and building RESTful APIs * Relational Databases (SQL) and ORM tools (e.g., Hibernate) * Familiarity with Microservices architecture. Frontend * React.js (including Hooks and modern practices) * JavaScript…","Java, C, JavaScript, R, React, Spring Boot, SQL, Microservices, ROS",Junior (1-3 yrs),"₹400,000 - ₹500,000","Kochi, Ernakulam",Onsite,2026-05-19,Adzuna
Java Developer,Arwin Global Solutions,Backend / API,"Java Developer Qualifications: Bachelor Degree in Computer Science Engineering or any related field Skills and Competencies: · A record of successful delivery of software applications as a senior Java Developer. · Minimum four years experience in Java-J2EE Development. · Expensive technical experience and development expertise in core Java,J2EE,Webservices, spring, spring boot, spring MVC. · Possess advanced knowledge of Object Oriented design and development and the J2EE framework and data arc…","Java, C, R, Spring Boot",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-21,Adzuna
